Law Firm,City,Website,DA Score
"Ropes & Gray, LLP",Alameda,www.ropesgray.com,59
"Law Offices of the Public Defender, County of Riverside",Banning,publicdef.co.riverside.ca.us,51
Law Office of Lainey Feingold,Berkeley,lflegal.com,51
,Berkeley,profiles.superlawyers.com,60
Disability Rights Advocates,Berkeley,dralegal.org,54
City Attorney of San Francisco,Berkeley,www.sfcityattorney.org,59
The Bloom Firm Attorneys at Law,Calabasas,thebloomfirm.com,52
,Carmichael,www.avvo.com,74
Wills Trusts and Estate Law,Cerritos,estatelaw.simplybook.me,62
Paul Hastings LLP,Costa Mesa,www.paulhastings.com,57
Ogletree Deakins,Costa Mesa,ogletree.com,55
"Haynes and Boone, LLP",Costa Mesa,www.haynesboone.com,57
Kenney Legal Defense Firm,Costa Mesa,kenneylegaldefense.us,54
,Costa Mesa,www.sheppardmullin.com,51
,Culver City,www.columbiarecords.com,68
,El Segundo,www.apollo.com,58
,Encino,baronandbudd.com,50
,Folsom,www.talend.com,64
,Fremont,www.morganlewis.com,61
,Fresno,www.littler.com,63
,Fresno,www.co.fresno.ca.us,59
,Glendale,www.shouselaw.com,60
,Irvine,www.boydlawlosangeles.com,56
,Irvine,www.wellsfargo.com,80
,Irvine,www.fisherphillips.com,58
,Irvine,www.brownrudnick.com,54
,Irvine,www.womblebonddickinson.com,54
,Irvine,www.klgates.com,60
,Irvine,www.jacksonlewis.com,58
,Irvine,www.gtlaw.com,59
,Irvine,www.crowell.com,58
,Irvine,www.gibsondunn.com,61
,Irvine,www.troutman.com,58
,Irvine,www.dorsey.com,55
,Joshua Tree,sbcountyda.org,50
,Klamath,www.yuroktribe.org,50
,La Jolla,global.lockton.com,54
,Long Beach,michellawyers.com,51
,Los Angeles,www.whitecase.com,64
,Los Angeles,www.seyfarth.com,57
,Los Angeles,www.kpmg.us,63
,Los Angeles,www.winston.com,58
,Los Angeles,www.hoganlovells.com,64
,Los Angeles,www.clarkhill.com,52
,Los Angeles,www.duanemorris.com,57
,Los Angeles,www.reedsmith.com,62
,Los Angeles,www.weitzlux.com,50
,Los Angeles,www.thompsoncoburn.com,52
,Los Angeles,jenner.com,59
,Los Angeles,www.huntonak.com,60
,Los Angeles,www.pillsburylaw.com,59
,Los Angeles,www.arentfox.com,54
,Los Angeles,www.stblaw.com,52
,Los Angeles,www.alston.com,57
,Los Angeles,www.wilsonelser.com,51
,Los Angeles,www.hklaw.com,60
,Los Angeles,www.cozen.com,57
,Los Angeles,www.milbank.com,51
,Los Angeles,www.mofo.com,62
,Los Angeles,www.arnoldporter.com,58
,Los Angeles,foxrothschild.com,60
,Los Angeles,www.squirepattonboggs.com,60
,Los Angeles,www.ballardspahr.com,57
,Los Angeles,www.baumhedlundlaw.com,58
,Los Angeles,www.dollskill.com,69
,Los Angeles,www.jonesday.com,63
,Los Angeles,kilpatricktownsend.com,52
,Los Angeles,www.bsfllp.com,55
,Los Angeles,www.dentons.com,64
,Los Angeles,www.akerman.com,53
,Los Angeles,www.faegredrinker.com,57
,Los Angeles,www.wsgr.com,57
,Los Angeles,www.youtube.com,100
,Los Angeles,www.mayerbrown.com,62
,Los Angeles,www.mwe.com,60
,Los Angeles,www.cov.com,60
,Los Angeles,www.dlapiper.com,66
,Los Angeles,www.mintz.com,56
,Los Angeles,www.lacourt.org,61
,Los Angeles,www.bakermckenzie.com,66
,Los Angeles,www.skirball.org,59
,Los Angeles,www.lw.com,60
,Los Angeles,www.nortonrosefulbright.com,62
,Los Angeles,www.blankrome.com,57
,Los Angeles,www.quinnemanuel.com,56
,Los Angeles,www.nixonpeabody.com,56
,Los Angeles,www.omm.com,58
,Los Angeles,www.lacityattorney.org,55
,Los Angeles,www.venable.com,58
,Los Angeles,www.orrick.com,67
,Los Angeles,www.withersworldwide.com,54
,Los Angeles,www.kirkland.com,59
,Los Angeles,www.healthlaw.org,58
,Los Angeles,www.publiccounsel.org,57
,Los Angeles,www.willkie.com,53
,Los Angeles,www.afslaw.com,56
,Los Angeles,www.lawa.org,65
,Los Angeles,www.huschblackwell.com,53
,Los Angeles,www.greenbergglusker.com,51
,Los Angeles,www.dwt.com,59
,Los Angeles,www.lockelord.com,54
,Los Angeles,btlaw.com,52
,Los Angeles,www.proskauer.com,60
,Los Angeles,www.loeb.com,54
,Los Angeles,www.skadden.com,60
,Los Angeles,www.goodwinlaw.com,54
,Los Angeles,www.clydeco.com,56
,Los Angeles,www.afj.org,59
,Los Angeles,publiccounsel.org,57
,Los Angeles,supportkind.org,59
,Los Angeles,www.bhfs.com,52
,Los Angeles,www.polsinelli.com,51
,Los Angeles,www.manatt.com,58
,Los Angeles,www.mcguirewoods.com,57
,Los Angeles,www.perkinscoie.com,59
,Los Angeles,ucnrs.org,50
,Los Angeles,www.foxrothschild.com,60
,Los Angeles,www.lacba.org,50
,Los Angeles,www.sidley.com,59
,Los Angeles,www.maldef.org,63
,Los Angeles,www.disabilityrightsca.org,56
,Menlo Park,www.kilpatricktownsend.com,52
,Merced,www.co.merced.ca.us,54
,Monterey Park,citationmachine.net,57
,Mountain View,www.purestorage.com,61
,Mountain View,www.fenwick.com,59
,Mountain View,www.sra.samsung.com,93
,Murrieta,rivcoda.org,50
,Napa,www.countyofnapa.org,57
,Nevada City,mynevadacounty.com,52
,Newark,www.lucidmotors.com,61
,Oakland,www.publicjustice.net,54
,Oakland,www.alcoda.org,51
,Oakland,www.howardkane.strikingly.com,86
,Oakland,www.equaljusticeworks.org,54
,Oakland,www.biologicaldiversity.org,74
,Oakland,www.changelabsolutions.org,51
,Oceanside,www.ci.oceanside.ca.us,55
,Oroville,www.buttecounty.net,60
,Palo Alto,www.cooley.com,57
,Palo Alto,www.bakerbotts.com,53
,Palo Alto,www.lowenstein.com,54
,Palo Alto,www.iff.com,57
,Palo Alto,www.finnegan.com,54
,Palo Alto,www.allenovery.com,61
,Palo Alto,www.wilmerhale.com,64
,Palo Alto,www.foley.com,61
,Pasadena,www.cityofpasadena.net,60
,Pasadena,www.hbsslaw.com,63
,Pleasanton,www.icemortgagetechnology.com,56
,Rancho Cordova,www.progressive.com,71
,Redding,www.co.shasta.ca.us,56
,Redding,www.cityofredding.org,53
,Redwood City,www.kramerlevin.com,55
,Redwood City,www.freshfields.us,53
,Redwood City,www.weil.com,57
,Riverside,www.riziolawfirm.com,62
,Riverside,www.jamsadr.com,71
,Rosemead,www.sce.com,65
,S San Fran,guingonalaw.multiscreensite.com,68
,Sacramento,www.earthquakeauthority.com,53
,Sacramento,speaker.asmdc.org,64
,Sacramento,www.facebook.com,96
,Sacramento,www.coveredca.com,65
,Sacramento,my.stoel.com,51
,Sacramento,www.countycounsel.saccounty.net,62
,Sacramento,www.stoel.com,51
,Sacramento,publicdefender.saccounty.net,62
,Salinas,www.co.monterey.ca.us,60
,San Bernardino,www.sbcountyda.org,50
,San Diego,calendly.com,85
,San Diego,bennerlawfirm.com,57
,San Diego,californiainnocenceproject.org,55
,San Diego,www.qualcomm.com,85
,San Diego,www.secnav.navy.mil,89
,San Diego,perkinscoie.com,59
,San Diego,www.jag.navy.mil,89
,San Diego,www.bipc.com,50
,San Diego,www.rgrdlaw.com,57
,San Diego,www.sdcda.org,51
,San Diego,www.nelsonmullins.com,50
,San Diego,www.sanfordheisler.com,50
,San Francisco,www.prg.com,51
,San Francisco,www.clarkconstruction.com,50
,San Francisco,www.aclunc.org,69
,San Francisco,rachelle-chong.strikingly.com,86
,San Francisco,www.braze.com,61
,San Francisco,www.debevoise.com,57
,San Francisco,www.akingump.com,58
,San Francisco,www.advancingjustice-alc.org,52
,San Francisco,constantinecannon.com,50
,San Francisco,www.steptoe.com,59
,San Francisco,www.paulweiss.com,56
,San Francisco,www.frbsf.org,73
,San Francisco,www.splunk.com,82
,San Francisco,www.evercore.com,53
,San Francisco,www.munichre.com,69
,San Francisco,www.sfdistrictattorney.org,57
,San Francisco,quantcast.com,90
,San Francisco,statesuniteddemocracy.org,51
,San Francisco,www.fieldfisher.com,57
,San Francisco,www.cbiz.com,56
,San Francisco,www.bakerlaw.com,59
,San Francisco,sfdistrictattorney.org,57
,San Jose,www.velaw.com,53
,San Jose,www.bloomenergy.com,59
,San Leandro,acphd.org,58
,San Mateo,www.playstation.com,93
,San Mateo,en.wikipedia.org,98
,San Rafael,www.drinkerbiddle.com,51
,San Rafael,www.marincounty.org,60
,Santa Ana,www.chevron.com,74
,Santa Ana,www.orangecountyda.org,57
,Santa Ana,www.occourts.org,55
,Santa Ana,orangecountyda.org,57
,Santa Barbara,www.countyofsb.org,63
,Santa Monica,buckleyfirm.com,52
,Santa Monica,www.blockchain.com,81
,Santa Monica,www.bclplaw.com,59
,Stanford,stanfordhealthcare.org,68
,Sunnyvale,www.dickinson-wright.com,50
,Sunnyvale,www.ooma.com,60
,Tustin,www.wklaw.com,52
,Ukiah,www.mendocinocounty.org,54
,Walnut Creek,www.stewart.com,55
,West Hollywood,www.weho.org,61
,Woodland,www.yolocounty.org,56
,Yreka,www.co.siskiyou.ca.us,52
